section,method,item_id,item_text,rationale,response_format,design_notes,status,fielding_order_position
Consent,Admin,consent,I consent to participate / I do not consent,UQ ethics requirement (2023/HE002257),Binary: I consent / I do not consent,Non-consent ends survey. Information sheet shown first (v2.1).,Live,1
Intro,Admin,intro,Topic-neutral warm-up: 'Technology and your community',Does NOT mention AI — avoids priming before unanchored tolerance items,Introductory text (no response),Placed before any AI mention so free-number estimation is truly unanchored.,Live,2
Framing experiment,Information provision,info_provision,"Short, balanced explanation of loss-of-control risk plus a counter-consideration (random half see it, half do not)","Test whether opinion moves with information; where informed and uninformed answers diverge, the informed estimate is the headline",Between-subjects: shown / not shown,Sits before the tolerance block by design. The balanced info note is separate from the persuasive counter-message arm.,Live,3
Method 1: Direct elicitation,Direct / scope test,m4c_severity_ladder,"For each outcome, what is the highest chance per year you would find acceptable for AI systems to cause it?","Traces each person's stated F–N curve; within-person scope sensitivity is the key test (flat = affect, not threshold). Convergence cross-check for DCE.",Matrix: 4 severity rows × 9-point log-probability scale (see sub-rows),Row order randomised. Between-subjects arm cross-checks for demand effects. Held fully static (non-adaptive) so convergence check (§5) rests on a clean comparison. Fielded FIRST among tolerance blocks so no prior figure anchors the respondent's own number.,Live,4
Method 1: Direct elicitation,Direct / scope test,m4c_severity_ladder_row1,Severity row: A single death,Lower anchor for F–N curve,"Select one: 1 in 10 / 1 in 100 / 1 in 1,000 / 1 in 10,000 / 1 in 100,000 / 1 in 1,000,000 / 1 in 10,000,000 / 1 in 1,000,000,000 / Should never be allowed",Within-person severity ladder row. Order randomised.,Live,4
Method 1: Direct elicitation,Direct / scope test,m4c_severity_ladder_row2,"Severity row: 100 deaths or serious injuries, or $1 billion in damage",RAISE Act 'critical harm' legal anchor,"Select one: 1 in 10 / 1 in 100 / 1 in 1,000 / 1 in 10,000 / 1 in 100,000 / 1 in 1,000,000 / 1 in 10,000,000 / 1 in 1,000,000,000 / Should never be allowed",Within-person severity ladder row. Order randomised.,Live,4
Method 1: Direct elicitation,Direct / scope test,m4c_severity_ladder_row3,"Severity row: 1,000,000 deaths or $100 billion in damage",MIT AI Risk Repository 'catastrophic' threshold,"Select one: 1 in 10 / 1 in 100 / 1 in 1,000 / 1 in 10,000 / 1 in 100,000 / 1 in 1,000,000 / 1 in 10,000,000 / 1 in 1,000,000,000 / Should never be allowed",Within-person severity ladder row. Order randomised.,Live,4
Method 1: Direct elicitation,Direct / scope test,m4c_severity_ladder_row4,"Severity row: ~800,000,000 deaths, about 10% of humanity",FRI/XPT 'catastrophe' definition,"Select one: 1 in 10 / 1 in 100 / 1 in 1,000 / 1 in 10,000 / 1 in 100,000 / 1 in 1,000,000 / 1 in 10,000,000 / 1 in 1,000,000,000 / Should never be allowed",Within-person severity ladder row. Order randomised.,Live,4
Method 1: Direct elicitation,Direct / WTP,m5_wtp,"What is the most you would be willing to pay each year, through higher prices and taxes, to cut the annual chance of an AI catastrophe from 1 in 20 to 1 in 100?","WTP cross-check; DCE cost coefficient is the primary WTP, this is the secondary. Log scale tames protest zeros and outliers.","Select one: $0 / $1–10 / $10–100 / $100–1,000 / $1,000–10,000 / More than $10,000",Bounded log scale (not free text).,Live,8
Method 2: DCE,Discrete choice experiment,dce_task,Here are two possible futures for advanced AI. Which do you prefer? (You may also choose to keep today's situation.),"Revealed preferences rather than stated; recovers tradeoffs (safety vs utility, cost, competitiveness) the way people reveal preferences when shopping. Resistant to scope-insensitivity gaming.",Forced choice: Option A / Option B / Keep today's status quo. ~10 tasks per respondent.,"Bayesian D-efficient design, 2 alternatives + opt-out, 10 tasks, 10 blocks, 4,000 respondents. Population-level sequential re-optimisation at wave boundaries. 720-profile full factorial (4×5×3×3×4).",Live,5
